key,name,ra,dec,M_V,mass_stellar,rhalf,rhalf_physical,rhalf_sph_physical,ellipticity,distance,distance_modulus,metallicity,metallicity_em,metallicity_ep,metallicity_type,age,age_em,age_ep,vlos_sigma
segue_2,Segue 2,34.8226,20.1624,-1.95,3.01,3.76,39.71,35.02,0.22,36.48,17.81,-2.22,0.13,0.13,spectroscopic,,,,
sextans_1,Sextans,153.268,-1.62,-8.72,5.72,22.8,568.65,485.89,0.27,85.9,19.67,-1.97,0.04,0.04,spectroscopic,,,,7.9
sextans_2,Sextans II,156.437,-0.631,-3.91,3.8,4.2,152.33,114.79,0.43,125.89,20.5,,,,,,,,
smc,SMC,16.25,-72.42,-16.79,8.95,59.4,1080.85,1080.85,,62.81,18.99,,,,,,,,27.6
triangulum_2,Triangulum II,33.3155,36.1691,-1.3,2.75,2.5,20.56,17.17,0.3,28.44,17.27,-2.24,0.05,0.05,spectroscopic,,,,
tucana_2,Tucana II,342.9796,-58.5689,-3.75,3.73,12.89,208.67,161.67,0.39,56.23,18.75,-2.77,,,spectroscopic,,,,3.8
tucana_3,Tucana III,359.1075,-59.58332,-1.3,2.75,5.1,33.67,30.0,0.2,22.91,16.8,-2.42,0.08,0.07,spectroscopic,,,,
tucana_4,Tucana IV,0.717,-60.83,-3.0,3.43,9.3,125.94,98.11,0.39,46.99,18.36,-2.49,0.16,0.15,spectroscopic,,,,4.3
tucana_5,Tucana V,354.347,-63.266,-1.1,2.67,2.1,33.03,22.8,0.51,54.95,18.7,-2.84,0.3,0.32,spectroscopic,,,,1.2
ursa_major_1,Ursa Major I,158.7706,51.9479,-5.14,4.29,8.31,234.5,150.14,0.59,97.27,19.94,-2.16,0.13,0.11,spectroscopic,,,,7.0
ursa_major_2,Ursa Major II,132.8726,63.1335,-4.42,4.0,13.8,138.83,92.06,0.56,34.67,17.7,-2.23,0.24,0.21,spectroscopic,,,,6.7
ursa_minor_1,Ursa Minor,227.242,67.2221,-8.86,5.78,18.3,373.33,250.41,0.55,70.15,19.23,-2.13,0.02,0.02,spectroscopic,,,,8.6
virgo_1,Virgo I,180.038,-0.681,-0.9,2.59,1.76,45.98,28.87,0.59,91.2,19.8,,,,,,,,
virgo_2,Virgo II,225.059,5.909,-1.6,2.87,0.74,15.4,15.4,,72.44,19.3,-1.9,,,isochrone,,,,
virgo_3,Virgo III,186.348,4.441,-2.69,3.31,1.0,43.42,35.86,0.29,151.36,20.9,,,,,,,,
willman_1,Willman 1,162.3436,51.0501,-2.53,3.25,2.51,27.43,19.98,0.47,38.02,17.9,-2.19,0.08,0.08,spectroscopic,,,,4.0
